"id","name","business_status","formatted_address","city","website","geometry_location_lat","geometry_location_lng","geometry_viewport_northeast_lat","geometry_viewport_northeast_lng","geometry_viewport_southwest_lat","geometry_viewport_southwest_lng","opening_hours_open_now","place_id","plus_code_compound_code","plus_code_global_code","price_level","rating","reference","types","user_ratings_total","normalized_name","master_business_id"
1,"Uptown Social House","OPERATIONAL","1900 Walkers Line, Burlington, ON L7M 4W5, Canada"," Burlington","https://uptownsocialhouse.ca/","43.37840000","-79.80550000","43.37980000","-79.80420000","43.37710000","-79.80690000",False,"ChIJlcR9YQthK4gRKXAzDspNXK4","95HV+9R Burlington, Ontario","87M295HV+9R",2,"4.4","ChIJlcR9YQthK4gRKXAzDspNXK4","meal_takeaway",556,"uptown social house",223
2,"Mount Royal Family Restaurant","OPERATIONAL","2029 Mt Forest Dr, Burlington, ON L7P 1H4, Canada"," Burlington",NULL,"43.34788000","-79.82740000","43.34921000","-79.82600000","43.34651000","-79.82870000",True,"ChIJbdwmiPdhK4gRqi0e2pbI0LA","85XF+52 Burlington, Ontario","87M285XF+52",1,"4.2","ChIJbdwmiPdhK4gRqi0e2pbI0LA","restaurant",711,"mount royal family restaurant",269
179,"Downtown Bistro & Grill | Casual Fine Dining","OPERATIONAL","441 Elizabeth St, Burlington, ON L7R 2L8, Canada"," Burlington","https://downtownbistro.ca/","43.32661000","-79.79660000","43.32793000","-79.79530000","43.32523000","-79.79800000",False,"ChIJJ3hmZiWeLIgREL1009fY8pw","86G3+M9 Burlington, Ontario","87M286G3+M9",2,"4.6","ChIJJ3hmZiWeLIgREL1009fY8pw","restaurant",359,"downtown bistro & grill | casual fine dining",618
180,"MYTHOS Greek Cuisine | Wine Bar","OPERATIONAL","3500 Fairview St, Burlington, ON L7N 2R5, Canada"," Burlington",NULL,"43.35832000","-79.78040000","43.35975000","-79.77920000","43.35705000","-79.78190000",False,"ChIJB0KuBN2dLIgRV6-5oTe0yUc","9659+8R Burlington, Ontario","87M29659+8R",2,"4.3","ChIJB0KuBN2dLIgRV6-5oTe0yUc","restaurant",1147,"mythos greek cuisine | wine bar",531
181,"Sunset Bistro On The Waterfront","OPERATIONAL","399 Elizabeth St Unit 3, Burlington, ON L7R 0A4, Canada"," Burlington","https://sunsetbistro.ca/","43.32528000","-79.79460000","43.32661000","-79.79310000","43.32391000","-79.79580000",True,"ChIJnUpjlqufLIgRdHb1QdwMC-0","86G4+45 Burlington, Ontario","87M286G4+45",NULL,"4.3","ChIJnUpjlqufLIgRdHb1QdwMC-0","restaurant",187,"sunset bistro on the waterfront",573
182,"Lugano Pizza","OPERATIONAL","353 Brant St, Burlington, ON L7R 2E7, Canada"," Burlington",NULL,"43.32480000","-79.79630000","43.32610000","-79.79500000","43.32340000","-79.79770000",False,"ChIJ492AG9w0K4gRxacJBMiGRIg","86F3+WF Burlington, Ontario","87M286F3+WF",1,"4.5","ChIJ492AG9w0K4gRxacJBMiGRIg","meal_takeaway",543,"lugano pizza",541
183,"Lucky Wok","OPERATIONAL","4033 New St, Burlington, ON L7L 1S8, Canada"," Burlington",NULL,"43.35441000","-79.76910000","43.35580000","-79.76770000","43.35310000","-79.77040000",False,"ChIJLY_V10ZgK4gRtbS1bWeL0bw","963J+Q9 Burlington, Ontario","87M2963J+Q9",1,"3.6","ChIJLY_V10ZgK4gRtbS1bWeL0bw","restaurant",214,"lucky wok",584
184,"China Star","OPERATIONAL","728 Burloak Dr, Burlington, ON L7L 6P3, Canada"," Burlington",NULL,"43.38853000","-79.74840000","43.38990000","-79.74700000","43.38720000","-79.74970000",False,"ChIJczUrY6JgK4gRoYN8js-I5sU","97Q2+CJ Burlington, Ontario","87M297Q2+CJ",1,"3.8","ChIJczUrY6JgK4gRoYN8js-I5sU","restaurant",110,"china star",770
185,"Daytime Grill","OPERATIONAL","1860 Appleby Line, Burlington, ON L7L 0B7, Canada"," Burlington",NULL,"43.39122000","-79.78820000","43.39261000","-79.78690000","43.38991000","-79.78960000",True,"ChIJ6fZBzSFhK4gRmT6cwkm7Y6E","96R6+FP Burlington, Ontario","87M296R6+FP",1,"4.2","ChIJ6fZBzSFhK4gRmT6cwkm7Y6E","restaurant",294,"daytime grill",213
186,"Charcoal Pit","OPERATIONAL","2031 Lakeshore Rd., Burlington, ON L7R 0A4, Canada"," Burlington",NULL,"43.32523000","-79.79510000","43.32657000","-79.79370000","43.32387000","-79.79640000",False,"ChIJG9AI4C-eLIgROUI8T9CVWgo","86G3+3X Burlington, Ontario","87M286G3+3X",1,"4.3","ChIJG9AI4C-eLIgROUI8T9CVWgo","restaurant",1141,"charcoal pit",270
187,"Zesty - Shawarma Saj Catering","OPERATIONAL","3505 Upper Middle Rd, Burlington, ON L7M 4C6, Canada"," Burlington",NULL,"43.37994000","-79.80800000","43.38127000","-79.80660000","43.37857000","-79.80930000",False,"ChIJAQz5R3NhK4gRg0YBZAS3c0c","95HR+XR Burlington, Ontario","87M295HR+XR",1,"4.5","ChIJAQz5R3NhK4gRg0YBZAS3c0c","restaurant",977,"zesty - shawarma saj catering",536
188,"Sultan's Wings & Kabob Shop","OPERATIONAL","1500 Upper Middle Rd, Burlington, ON L7P 3P5, Canada"," Burlington",NULL,"43.35595000","-79.84500000","43.35734000","-79.84370000","43.35464000","-79.84640000",False,"ChIJu3ShXhZiK4gRMKi3sLQQH4M","9544+92 Burlington, Ontario","87M29544+92",1,"4.6","ChIJu3ShXhZiK4gRMKi3sLQQH4M","restaurant",658,"sultan's wings & kabob shop",155
189,"Sea Shanty Fish & Chips","OPERATIONAL","2455 Mt Forest Dr, Burlington, ON L7P 1J7, Canada"," Burlington",NULL,"43.35972000","-79.81580000","43.36102000","-79.81430000","43.35832000","-79.81700000",False,"ChIJRQwuy5NhK4gRyJ-bqtcktp4","955M+VM Burlington, Ontario","87M2955M+VM",1,"4.4","ChIJRQwuy5NhK4gRyJ-bqtcktp4","restaurant",279,"sea shanty fish & chips",369
190,"Zesty - Shawarma & Halal Grill","OPERATIONAL","4033 New St, Burlington, ON L7L 1S8, Canada"," Burlington",NULL,"43.35451000","-79.76930000","43.35593000","-79.76780000","43.35323000","-79.77050000",False,"ChIJHYEqKEdgK4gRwKjLRew1UhM","963J+R7 Burlington, Ontario","87M2963J+R7",1,"4.7","ChIJHYEqKEdgK4gRwKjLRew1UhM","restaurant",933,"zesty - shawarma & halal grill",536
191,"Chef Grande Mediterranean Cuisine","OPERATIONAL","676 Appleby Line e103, Burlington, ON L7L 6J9, Canada"," Burlington",NULL,"43.37156000","-79.76170000","43.37293000","-79.76050000","43.37023000","-79.76320000",False,"ChIJnfSIzopgK4gRQ6TWjPrJMEo","96CQ+J8 Burlington, Ontario","87M296CQ+J8",1,"4.5","ChIJnfSIzopgK4gRQ6TWjPrJMEo","restaurant",887,"chef grande mediterranean cuisine",755
192,"Mike & Vydia's Sandwich Garden","OPERATIONAL","1122 International Blvd, Burlington, ON L7L 6Z8, Canada"," Burlington",NULL,"43.39169000","-79.76230000","43.39314000","-79.76100000","43.39044000","-79.76370000",False,"ChIJvYSWY79gK4gRPc71zbsivE8","96RQ+M3 Burlington, Ontario","87M296RQ+M3",1,"4.8","ChIJvYSWY79gK4gRPc71zbsivE8","restaurant",239,"mike & vydia's sandwich garden",46
193,"Sakis Mediterranean & Greek Restaurant","OPERATIONAL","645 Plains Rd E, Burlington, ON L7T 4J5, Canada"," Burlington",NULL,"43.32294000","-79.83210000","43.32424000","-79.83070000","43.32155000","-79.83340000",False,"ChIJZ-5emuGdLIgRENkc6vxIhcY","85F9+55 Burlington, Ontario","87M285F9+55",1,"4.6","ChIJZ-5emuGdLIgRENkc6vxIhcY","restaurant",740,"sakis mediterranean & greek restaurant",740
194,"Babaz+","OPERATIONAL","4000 Mainway, Burlington, ON L7M 4B9, Canada"," Burlington",NULL,"43.37182000","-79.79420000","43.37325000","-79.79280000","43.37055000","-79.79550000",False,"ChIJWWJaGqhhK4gRG793CcVMFcA","96C4+Q7 Burlington, Ontario","87M296C4+Q7",1,"4.4","ChIJWWJaGqhhK4gRG793CcVMFcA","restaurant",307,"babaz+",581
195,"Pho Mi T&T","OPERATIONAL","583 Brant St, Burlington, ON L7R 2G6, Canada"," Burlington",NULL,"43.32973000","-79.80240000","43.33110000","-79.80110000","43.32840000","-79.80380000",False,"ChIJpawHlSOeLIgRX7eLH_7BNXE","85HX+V3 Burlington, Ontario","87M285HX+V3",1,"4.3","ChIJpawHlSOeLIgRX7eLH_7BNXE","restaurant",605,"pho mi t&t",715
196,"Waffle House","OPERATIONAL","2701 Alamance Rd, Burlington, NC 27215, United States"," Burlington",NULL,"36.06433000","-79.46990000","36.06551000","-79.46840000","36.06281000","-79.47110000",True,"ChIJ1b6D_P0rU4gRgWpsFZA-WeQ","3G7J+P2 Burlington, North Carolina, USA","87823G7J+P2",1,"4.1","ChIJ1b6D_P0rU4gRgWpsFZA-WeQ","meal_takeaway",1121,"waffle house",420
197,"Costco Food Court","OPERATIONAL","1225 Brant St, Burlington, ON L7P 5C7, Canada"," Burlington",NULL,"43.34435000","-79.82170000","43.34568000","-79.82070000","43.34298000","-79.82340000",True,"ChIJU2GPVvphK4gRVRgzWRX6LoM","85VH+P8 Burlington, Ontario","87M285VH+P8",1,"4.3","ChIJU2GPVvphK4gRVRgzWRX6LoM","meal_takeaway",17,"costco food court",79
198,"Tha Spice is Right","CLOSED_TEMPORARILY","5353 Lakeshore Rd. #24, Burlington, ON L7L 1C8, Canada"," Burlington",NULL,"43.36776000","-79.73300000","43.36890000","-79.73150000","43.36620000","-79.73420000",NULL,"ChIJH-slwixeK4gRD1etGwWMnO0","9798+4Q Burlington, Ontario","87M29798+4Q",1,"4.3","ChIJH-slwixeK4gRD1etGwWMnO0","restaurant",63,"tha spice is right",694
199,"Bo's Sports Bar","OPERATIONAL","419 Dundas St E, Waterdown, ON L0R 2H1, Canada"," Waterdown",NULL,"43.34080000","-79.88460000","43.34212000","-79.88320000","43.33942000","-79.88590000",False,"ChIJmw5rmiydLIgRQYBw_MfWoNI","84R8+85 Hamilton, Ontario","87M284R8+85",1,"4.5","ChIJmw5rmiydLIgRQYBw_MfWoNI","bar",197,"bo's sports bar",604
200,"Jitterbug Cafe","OPERATIONAL","35 Main St N, Waterdown, ON L0R 2H0, Canada"," Waterdown",NULL,"43.33424000","-79.89430000","43.33559000","-79.89300000","43.33289000","-79.89570000",False,"ChIJX6o51ISELIgRjyfLg1HiJlo","84M4+M7 Hamilton, Ontario","87M284M4+M7",1,"4.7","ChIJX6o51ISELIgRjyfLg1HiJlo","cafe",189,"jitterbug cafe",528
