deal_id,business_name,master_id,matched_name,name_match_validation,description,details,price,price_per_wing,day,category,second_category,start_time,end_time
1,Jersey's Bar & Grill,143,Jersey's Bar & Grill,Exact match,Irish Pint Special $6.50,Irish Pint Special $6.50,6.5,,Tuesday,Drinks,Beer,12:00:00,22:00:00
2,Jersey's Bar & Grill,143,Jersey's Bar & Grill,Exact match,Wing Night $.89,Wing Night $.89,0.89,0.89,Wednesday,Wings,,16:00:00,0:00:00
3,Jersey's Bar & Grill,143,Jersey's Bar & Grill,Exact match,Import Premium Bottles $4.99,Import Premium Bottles $4.99,4.99,,Thursday,Drinks,Beer,15:00:00,18:00:00
4,Jersey's Bar & Grill,143,Jersey's Bar & Grill,Exact match,Wing Night $.99,Wing Night $.99,5.5,0.99,Sunday,Wings,,16:00:00,0:00:00
5,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Live Music Fridays,Live Music Fridays,0,,Friday,Events,Live Music,19:30:00,0:00:00
6,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Pizza and Wings,Deluxe or pepperoni plus large fries and 2.5lbs wings,45,,Monday,Combos,Wings,,
7,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Fajitas,8oz Chicken + 8oz Steak + 8 Shells and all the fixings,45,,Tuesday,Combos,Tacos,,
8,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Smash Burgers,Smash burgers + fries,15,,Wednesday,Combos,Burgers,,
9,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Fish and Chips,8oz haddock,15,,Thursday,Fish and Chips,,,
10,Gator Ted's Tap & Grill,161,Gator Ted's Tap & Grill,Exact match,Wing Night ,Dine in only,12.5,1.25,Sunday,Wings,,,
11,Blk Swan and Kitchen,508,Blk Swan Kitchen Hub Downtown Burlington,Check manually,1/2 Price Wings,1/2 Price Wings,9.5,0.95,Monday,Wings,,,
12,Blk Swan and Kitchen,508,Blk Swan Kitchen Hub Downtown Burlington,Check manually,$1 off Mini Jugs,$1 off Mini Jugs,,,Monday,Drinks,Beer,,
13,Blk Swan and Kitchen,508,Blk Swan Kitchen Hub Downtown Burlington,Partial match,$6.49 Swan Lager Pints,18oz Swan Lager,6.49,,Monday,Drinks,Beer,,
14,Blk Swan and Kitchen,508,Blk Swan Kitchen Hub Downtown Burlington,Partial match,"$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm","$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm",6.99,,Monday,Drinks,Beer,11:30:00,17:00:00
