deal_id,restaurant_id,title,description,price,day_of_week,category,second_category,start_time,end_time,is_approved,is_promoted,promoted_until,created_by,created_at,updated_at,price_per_wing,deal_type,category_details,price_type,flat_price,percentage_discount,promotion_tier
163,858,Pasta Night,Pasta for $14 (Excludes Seafood & Lobster Pasta Entrée),14.00,Monday,Pasta,Food,NULL,NULL,t,f,NULL,1,2025-01-06 22:25:36.640861,2025-01-07 05:02:41.75337,NULL,flat,Excludes Seafood & Lobster Pasta Entrée,fixed,14.00,NULL,0
55,859,Deal 56,25% Off All Shareables & Flatbreads,0.00,Thursday,Appetizers,Flatbread,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.169927,2025-01-01 16:21:58.202665,NULL,percentage,NULL,percentage,NULL,25.00,0
57,859,Deal 58,$5 Well Drinks,5.00,Thursday,Drinks,Spirits,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.250204,2024-12-31 21:57:03.254976,NULL,flat,NULL,fixed,5.00,NULL,0
17,399,Deal 17,"$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm",6.99,Tuesday,Drinks,Beer,11:30:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:45.687902,2024-12-31 22:43:17.897424,NULL,flat,NULL,fixed,6.99,NULL,0
18,399,Deal 18,$16.99 Pub Grub,16.99,Wednesday,Food,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.726164,2024-12-31 22:43:19.719812,NULL,flat,NULL,fixed,16.99,NULL,0
16,399,Deal 16,$6.49 Swan Lager Pints,6.49,Tuesday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.649913,2024-12-31 22:43:21.118498,NULL,flat,NULL,fixed,6.49,NULL,0
13,399,Deal 13,$6.49 Swan Lager Pints,6.49,Monday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.53189,2024-12-31 22:43:25.157656,NULL,flat,NULL,fixed,6.49,NULL,0
9,846,Deal 9,Fish and Chips,15.00,Thursday,Fish and Chips,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.368677,2024-12-31 22:43:29.666252,NULL,flat,NULL,fixed,15.00,NULL,0
8,846,Deal 8,Smash Burgers,15.00,Wednesday,Combos,Burgers,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.331776,2024-12-31 22:43:30.773819,NULL,flat,NULL,fixed,15.00,NULL,0
7,846,Deal 7,Fajitas,45.00,Tuesday,Combos,Tacos,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.292136,2024-12-31 22:43:34.579707,NULL,flat,NULL,fixed,45.00,NULL,0
6,846,Deal 6,Pizza and Wings,45.00,Monday,Combos,Wings,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.255365,2024-12-31 22:43:35.534546,NULL,flat,NULL,fixed,45.00,NULL,0
166,858,Asian Night Combo,25% off Asian Night items + 1 LB Wings OR Classic Burger & Domestic Pint,0.00,Wednesday,Combos,Wings,NULL,NULL,t,f,NULL,1,2025-01-06 22:25:36.640861,2025-01-07 06:12:56.539774,NULL,percentage,Asian Wok of Fame options,percentage,NULL,25.00,0
164,858,Appetizers Half Price,Selected appetizers are half price!,0.00,Monday,Appetizers,NULL,NULL,NULL,t,f,NULL,1,2025-01-06 22:25:36.640861,2025-01-07 06:13:06.270567,NULL,flat,Selected apps only,fixed,0.00,NULL,0
132,845,Deal 162,Fish and Chips,17.00,Saturday,Fish and Chips,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.292823,2024-12-31 22:41:03.948161,NULL,flat,NULL,fixed,17.00,NULL,0
131,845,Deal 161,Fish and Chips,12.00,Friday,Fish and Chips,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.249914,2024-12-31 22:41:05.37333,NULL,flat,NULL,fixed,12.00,NULL,0
145,870,Enjoy a TAP Beer for $5.95 Every Day !,"Every week, we’re offering one of our selected TAP beers on sale for just $5.95!
Enjoy a refreshing 20 oz pint, available all day from 11 AM to 11 PM

Stop by and take advantage of this unbeatable deal, with a new featured beer every week to keep things exciting! Cheers to great savings and even better brews!",5.95,Friday,Beer,,11:00:00,23:00:00,t,f,NULL,NULL,2025-01-05 16:57:00.892792,2025-01-05 16:57:13.471557,NULL,flat,NULL,fixed,5.95,NULL,0
146,870,Enjoy a TAP Beer for $5.95 Every Day !,"Every week, we’re offering one of our selected TAP beers on sale for just $5.95!
Enjoy a refreshing 20 oz pint, available all day from 11 AM to 11 PM

Stop by and take advantage of this unbeatable deal, with a new featured beer every week to keep things exciting! Cheers to great savings and even better brews!",5.95,Monday,Beer,,11:00:00,23:00:00,t,f,NULL,NULL,2025-01-05 16:57:00.897208,2025-01-05 16:57:21.182728,NULL,flat,NULL,fixed,5.95,NULL,0
