restaurant_id,master_business_id,name,business_status,address,city,website,geometry_location_lat,geometry_location_lng,geometry_viewport_northeast_lat,geometry_viewport_northeast_lng,geometry_viewport_southwest_lat,geometry_viewport_southwest_lng,opening_hours_open_now,place_id,plus_code_compound_code,plus_code_global_code,price_level,rating,reference,types,user_ratings_total,normalized_name,is_active,created_at
1,223,Uptown Social House,OPERATIONAL,"1900 Walkers Line, Burlington, ON L7M 4W5, Canada", Burlington,https://uptownsocialhouse.ca/,43.3784,-79.8055,43.3798,-79.8042,43.3771,-79.8069,f,ChIJlcR9YQthK4gRKXAzDspNXK4,"95HV+9R Burlington, Ontario",87M295HV+9R,2,4.4,ChIJlcR9YQthK4gRKXAzDspNXK4,meal_takeaway,556,uptown social house,t,2024-12-31 05:23:56.378934
2,269,Mount Royal Family Restaurant,OPERATIONAL,"2029 Mt Forest Dr, Burlington, ON L7P 1H4, Canada", Burlington,"NULL",43.34788,-79.8274,43.34921,-79.826,43.34651,-79.8287,f,ChIJbdwmiPdhK4gRqi0e2pbI0LA,"85XF+52 Burlington, Ontario",87M285XF+52,1,4.2,ChIJbdwmiPdhK4gRqi0e2pbI0LA,restaurant,711,mount royal family restaurant,t,2024-12-31 05:23:56.42424
3,618,Downtown Bistro & Grill | Casual Fine Dining,OPERATIONAL,"441 Elizabeth St, Burlington, ON L7R 2L8, Canada", Burlington,https://downtownbistro.ca/,43.32661,-79.7966,43.32793,-79.7953,43.32523,-79.798,f,ChIJJ3hmZiWeLIgREL1009fY8pw,"86G3+M9 Burlington, Ontario",87M286G3+M9,2,4.6,ChIJJ3hmZiWeLIgREL1009fY8pw,restaurant,359,downtown bistro & grill | casual fine dining,t,2024-12-31 05:23:56.526746
4,531,MYTHOS Greek Cuisine | Wine Bar,OPERATIONAL,"3500 Fairview St, Burlington, ON L7N 2R5, Canada", Burlington,"NULL",43.35832,-79.7804,43.35975,-79.7792,43.35705,-79.7819,f,ChIJB0KuBN2dLIgRV6-5oTe0yUc,"9659+8R Burlington, Ontario",87M29659+8R,2,4.3,ChIJB0KuBN2dLIgRV6-5oTe0yUc,restaurant,1147,mythos greek cuisine | wine bar,t,2024-12-31 05:23:56.571672
5,573,Sunset Bistro On The Waterfront,OPERATIONAL,"399 Elizabeth St Unit 3, Burlington, ON L7R 0A4, Canada", Burlington,https://sunsetbistro.ca/,43.32528,-79.7946,43.32661,-79.7931,43.32391,-79.7958,f,ChIJnUpjlqufLIgRdHb1QdwMC-0,"86G4+45 Burlington, Ontario",87M286G4+45,NULL,4.3,ChIJnUpjlqufLIgRdHb1QdwMC-0,restaurant,187,sunset bistro on the waterfront,t,2024-12-31 05:23:56.611326
6,541,Lugano Pizza,OPERATIONAL,"353 Brant St, Burlington, ON L7R 2E7, Canada", Burlington,"NULL",43.3248,-79.7963,43.3261,-79.795,43.3234,-79.7977,f,ChIJ492AG9w0K4gRxacJBMiGRIg,"86F3+WF Burlington, Ontario",87M286F3+WF,1,4.5,ChIJ492AG9w0K4gRxacJBMiGRIg,meal_takeaway,543,lugano pizza,t,2024-12-31 05:23:56.65412
7,584,Lucky Wok,OPERATIONAL,"4033 New St, Burlington, ON L7L 1S8, Canada", Burlington,"NULL",43.35441,-79.7691,43.3558,-79.7677,43.3531,-79.7704,f,ChIJLY_V10ZgK4gRtbS1bWeL0bw,"963J+Q9 Burlington, Ontario",87M2963J+Q9,1,3.6,ChIJLY_V10ZgK4gRtbS1bWeL0bw,restaurant,214,lucky wok,t,2024-12-31 05:23:56.692902
8,770,China Star,OPERATIONAL,"728 Burloak Dr, Burlington, ON L7L 6P3, Canada", Burlington,"NULL",43.38853,-79.7484,43.3899,-79.747,43.3872,-79.7497,f,ChIJczUrY6JgK4gRoYN8js-I5sU,"97Q2+CJ Burlington, Ontario",87M297Q2+CJ,1,3.8,ChIJczUrY6JgK4gRoYN8js-I5sU,restaurant,110,china star,t,2024-12-31 05:23:56.730822
9,213,Daytime Grill,OPERATIONAL,"1860 Appleby Line, Burlington, ON L7L 0B7, Canada", Burlington,"NULL",43.39122,-79.7882,43.39261,-79.7869,43.38991,-79.7896,f,ChIJ6fZBzSFhK4gRmT6cwkm7Y6E,"96R6+FP Burlington, Ontario",87M296R6+FP,1,4.2,ChIJ6fZBzSFhK4gRmT6cwkm7Y6E,restaurant,294,daytime grill,t,2024-12-31 05:23:56.76838
10,270,Charcoal Pit,OPERATIONAL,"2031 Lakeshore Rd., Burlington, ON L7R 0A4, Canada", Burlington,"NULL",43.32523,-79.7951,43.32657,-79.7937,43.32387,-79.7964,f,ChIJG9AI4C-eLIgROUI8T9CVWgo,"86G3+3X Burlington, Ontario",87M286G3+3X,1,4.3,ChIJG9AI4C-eLIgROUI8T9CVWgo,restaurant,1141,charcoal pit,t,2024-12-31 05:23:56.807147
